id,timestamp,score,hits,name,player_id,site
241,1751899087295,172,"[[0,0,1],[1,0,1],[0,1,0],[0,0,1],[0,3,0],[0,0,0],[0,0,1],[0,1,0],[0,3,0],[0,0,0],[1,0,1],[0,0,0],[1,0,0],[0,0,0],[1,0,0],[0,1,0],[0,0,0],[0,0,1],[0,0,1],[0,0,0]]",Angelo,6,Riate
245,1751975604147,738,"[[0,0,3],[1,1,0],[0,3,1],[1,1,0],[1,1,1],[2,2,0],[3,1,0],[0,3,3],[0,1,1],[1,3,1],[3,0,1],[0,1,2],[0,2,0],[1,1,3],[1,1,1],[1,1,1],[3,0,1],[0,1,1],[3,1,1],[0,3,0]]",Number One,0,Riate
246,1751975604147,412,"[[0,0,0],[0,0,0],[0,1,1],[1,0,1],[1,0,0],[2,2,0],[0,0,0],[1,3,1],[0,0,1],[1,0,1],[0,0,0],[1,1,1],[1,1,0],[0,0,1],[1,1,1],[1,1,0],[2,0,0],[1,0,0],[3,1,1],[0,0,0]]",Dart Simpson,3,Riate
247,1751975604147,404,"[[0,0,1],[1,0,0],[1,0,0],[0,0,1],[0,0,0],[0,1,1],[1,0,2],[1,0,1],[1,0,0],[3,0,0],[0,0,1],[0,0,1],[0,0,1],[1,1,3],[0,1,1],[0,0,0],[0,1,0],[1,1,0],[1,1,1],[2,1,0]]",Robull,4,Riate
248,1751975604147,387,"[[1,0,1],[0,1,0],[0,3,0],[1,1,0],[1,1,1],[0,3,0],[0,1,1],[1,0,1],[0,0,0],[1,3,1],[0,0,1],[1,0,1],[1,0,0],[2,1,1],[0,0,0],[0,0,0],[0,1,1],[0,1,1],[0,0,1],[0,3,0]]",Louis CLXXX,5,Riate
249,1751975604147,379,"[[0,0,0],[1,1,0],[1,0,1],[1,0,1],[0,1,1],[0,1,0],[1,0,0],[0,0,0],[0,1,1],[2,1,1],[3,0,1],[0,1,2],[1,1,0],[0,0,0],[1,1,0],[0,1,0],[1,0,2],[0,1,0],[1,0,0],[0,1,1]]",Hugues,1001,Riate
250,1751975604147,300,"[[0,0,1],[1,0,0],[1,0,0],[1,0,1],[1,0,0],[0,0,0],[3,1,0],[1,1,0],[0,1,0],[0,0,0],[1,1,0],[1,0,0],[0,1,1],[0,0,1],[0,1,0],[1,1,1],[1,1,1],[0,0,0],[0,0,0],[1,0,1]]",Darts Vador,2,Riate
251,1751975604147,290,"[[0,0,0],[1,0,0],[0,3,1],[0,2,0],[0,0,0],[0,1,0],[1,1,0],[0,3,3],[0,0,0],[3,1,0],[0,0,0],[1,0,0],[0,2,0],[0,0,0],[0,1,0],[0,0,0],[3,0,1],[0,0,0],[0,1,0],[1,0,0]]",Angelo,6,Riate
252,1751975604147,256,"[[0,0,3],[0,0,0],[0,0,0],[0,0,2],[0,0,0],[0,0,0],[1,0,0],[0,0,0],[1,0,0],[0,1,0],[1,0,3],[0,0,0],[0,1,0],[0,0,1],[0,0,0],[0,0,0],[1,0,1],[0,1,0],[0,1,3],[0,0,1]]",Cramomille,7,Riate
253,1751993504188,630,"[[0,3,0],[1,2,0],[3,1,1],[1,0,0],[0,0,1],[0,3,0],[1,1,0],[1,0,0],[0,2,1],[0,1,3],[0,0,1],[0,0,3],[3,0,0],[0,1,2],[1,1,1],[1,3,1],[3,1,1],[1,1,1],[0,1,1],[1,1,1]]",Number One,0,Riate
254,1751993504188,518,"[[1,0,0],[1,2,0],[3,1,1],[1,0,0],[0,1,0],[0,1,0],[0,1,0],[1,0,0],[1,1,0],[1,2,0],[0,0,1],[0,1,0],[1,0,1],[1,1,1],[1,0,1],[1,3,1],[3,1,1],[1,1,1],[0,1,1],[0,1,1]]",Louis CLXXX,5,Riate
255,1751993504188,324,"[[0,1,0],[1,0,0],[0,0,0],[0,0,0],[0,1,0],[1,0,0],[1,0,0],[0,1,0],[1,0,0],[0,1,3],[0,0,0],[0,1,1],[1,1,0],[0,1,2],[1,1,1],[0,1,0],[0,0,0],[1,1,1],[0,0,1],[0,0,1]]",Hugues,1001,Riate
256,1751993504188,255,"[[0,0,0],[0,1,0],[0,1,0],[0,0,0],[0,0,1],[0,1,0],[1,1,0],[1,0,0],[0,2,1],[0,0,0],[0,0,1],[0,0,3],[3,0,0],[0,0,0],[1,1,0],[0,0,0],[0,0,1],[0,0,1],[0,1,0],[0,0,1]]",Angelo,6,Riate
257,1751993504188,241,"[[0,3,0],[0,0,0],[0,0,0],[1,0,0],[0,1,0],[0,3,0],[0,0,0],[0,0,0],[0,1,0],[0,0,0],[1,0,0],[0,0,0],[1,0,0],[1,0,0],[0,0,0],[0,0,0],[3,0,1],[0,1,1],[0,0,0],[1,1,1]]",Cramomille,7,Riate
258,1752059964962,695,"[[3,3,0],[0,1,1],[0,3,1],[0,3,1],[0,3,1],[0,3,2],[1,0,2],[1,0,3],[1,3,1],[1,1,1],[1,1,0],[1,1,1],[2,1,2],[0,0,3],[0,1,2],[1,1,1],[1,1,1],[2,1,0],[1,2,1],[1,0,1]]",Number One,0,Riate
